vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
CMT,2024-03-02 00:39:00,2024-04-02 16:32:57,6,6.63,3,Y,-73.775567,40.794842,-73.999335,40.798153,Cash,486.62,4.3,4.99,74.25,13.67,593.8
VTS,2024-02-10 12:24:50,2024-09-05 12:58:53,3,36.42,6,Y,-73.752993,40.768314,-73.992376,40.797861,Cash,213.06,5.33,0.26,68.05,47.2,39.31
VTS,2024-09-05 04:01:40,2024-08-18 18:58:54,5,11.23,3,Y,-73.799256,40.641915,-73.922266,40.794392,Cash,252.45,7.79,3.86,18.66,44.89,61.97
CMT,2024-05-03 12:39:31,2024-07-04 09:38:44,3,28.62,1,Y,-73.849574,40.835185,-73.986002,40.669015,Credit Card,474.76,1.96,2.14,54.57,23.5,581.16
CMT,2024-01-17 16:57:48,2024-10-09 04:06:00,3,39.24,5,N,-73.910993,40.809794,-73.882317,40.736573,Dispute,361.84,7.06,3.06,86.5,14.52,478.55
CMT,2024-05-06 14:55:50,2024-07-09 14:37:41,4,22.27,5,N,-73.761519,40.828634,-73.936825,40.840073,Unknown,32.2,8.41,0.58,91.75,15.35,274.83
CMT,2024-09-01 22:09:53,2024-08-15 22:00:29,2,28.68,1,Y,-73.775068,40.846521,-73.769666,40.792719,Credit Card,32.25,9.73,0.33,45.71,30.93,353.09
VTS,2024-04-05 16:14:18,2024-02-29 22:32:18,6,48.43,6,Y,-73.848518,40.690033,-73.9839,40.702612,Credit Card,171.62,4.59,2.81,85.89,25.12,527.67
CMT,2024-06-14 14:43:31,2024-04-10 21:16:09,1,1.25,4,N,-74.009924,40.684712,-73.986302,40.691603,No Charge,456.57,9.1,4.6,5.18,11.86,37.31
VTS,2024-06-28 20:39:28,2024-10-30 06:27:20,1,42.97,4,Y,-74.048954,40.835268,-73.982658,40.785527,Dispute,406.5,4.28,3.85,34.18,14.26,238.13
VTS,2024-06-04 19:46:02,2024-08-01 00:18:54,5,37.48,1,Y,-73.876483,40.820421,-73.941536,40.782288,Credit Card,220.13,8.29,0.25,55.02,4.79,121.21
CMT,2024-10-18 19:12:47,2024-03-07 21:42:09,5,15.91,3,N,-73.976947,40.803931,-73.84665,40.72524,Dispute,20.11,1.86,0.92,49.73,40.12,381.8
VTS,2024-01-15 04:32:51,2024-04-15 00:16:54,1,29.0,2,Y,-73.769455,40.70947,-73.950562,40.797608,Unknown,454.56,6.37,2.79,69.29,49.09,537.17
VTS,2024-04-10 17:11:46,2024-04-13 12:05:42,5,23.61,1,Y,-73.833019,40.756248,-73.800345,40.842877,Unknown,433.01,4.1,4.95,96.22,33.19,223.7
VTS,2024-06-20 01:36:13,2024-02-20 19:23:44,6,28.73,5,N,-73.914637,40.755414,-73.873514,40.704131,Cash,240.63,2.84,1.51,87.26,34.09,352.37
VTS,2024-07-25 10:25:19,2024-06-06 19:26:13,1,23.56,5,Y,-73.829654,40.761748,-73.801407,40.63097,No Charge,334.54,2.96,2.77,3.96,1.81,254.22
VTS,2024-10-13 05:30:26,2024-11-04 16:49:34,6,28.1,2,Y,-74.013901,40.816888,-73.955104,40.65606,Dispute,36.63,6.72,1.7,60.81,9.16,188.95
CMT,2024-03-15 08:42:42,2024-06-24 23:18:40,3,36.41,6,Y,-74.031184,40.697746,-73.774064,40.82496,Cash,435.16,8.6,2.18,51.09,16.35,504.4
CMT,2024-04-10 14:56:51,2024-06-01 23:07:58,5,39.52,1,Y,-74.014234,40.670171,-73.793636,40.709358,Unknown,401.94,2.57,4.46,22.23,4.57,521.79
VTS,2024-02-15 19:41:49,2024-06-24 04:39:01,2,25.96,2,N,-73.840873,40.796297,-73.880833,40.746873,Cash,407.5,3.97,2.72,95.17,47.4,290.64
CMT,2024-11-01 23:53:49,2024-08-20 20:46:59,5,14.21,6,Y,-73.936237,40.829822,-74.021192,40.802992,No Charge,91.72,6.86,4.23,56.3,26.65,379.33
VTS,2024-01-07 12:21:04,2024-03-13 11:58:53,1,34.4,3,Y,-73.913914,40.656217,-74.002774,40.680796,No Charge,206.9,3.68,3.72,58.28,39.98,548.77
CMT,2024-08-23 02:02:16,2024-01-21 06:45:54,5,2.23,4,N,-73.807944,40.831731,-73.865769,40.677545,No Charge,9.95,1.0,1.57,73.02,7.51,515.85
VTS,2024-03-07 04:33:56,2024-09-28 16:42:24,4,21.06,3,Y,-73.75859,40.760623,-73.927808,40.836098,Cash,52.11,7.61,3.12,95.4,47.43,383.03
VTS,2024-03-23 03:20:32,2024-04-14 03:41:30,3,24.02,6,Y,-73.882913,40.695758,-73.977123,40.65238,Unknown,467.18,8.48,0.42,13.06,13.09,569.25
CMT,2024-07-06 22:17:16,2024-07-10 14:02:08,4,10.82,6,N,-73.925338,40.746698,-73.767361,40.691707,Cash,433.62,8.15,2.46,34.28,48.31,269.82
CMT,2024-03-26 19:17:33,2024-11-08 21:25:52,1,4.15,5,N,-74.00202,40.699759,-73.875371,40.786274,No Charge,267.41,0.46,0.11,83.24,15.64,192.71
VTS,2024-04-27 13:04:45,2024-02-23 19:13:54,2,4.79,6,N,-74.008228,40.745542,-73.83596,40.839595,Cash,55.44,2.41,2.84,36.22,4.65,355.66
